asset,fold,train_start,train_end,test_start,test_end,train_samples,test_samples,hit_rate,directional,long_rate,short_rate,flat_rate
USDJPY,0,2017-06-06,2018-11-16,2018-11-27,2020-06-02,278,283,0.3534,0.0282,0.2332,0.3922,0.3746
USDJPY,1,2017-06-06,2020-05-26,2020-06-03,2021-12-20,561,283,0.3958,-0.0068,0.1767,0.3428,0.4806
USDJPY,2,2017-06-06,2021-12-06,2021-12-21,2023-04-27,844,283,0.1625,-0.0723,0.1625,0.6678,0.1696
USDJPY,3,2017-06-06,2023-04-20,2023-04-28,2024-10-09,1127,283,0.3781,0.0407,0.3463,0.0883,0.5654
USDJPY,4,2017-06-06,2024-10-01,2024-10-10,2026-05-05,1410,283,0.53,0.4141,0.3286,0.0212,0.6502
