asset,fold,train_start,train_end,test_start,test_end,train_samples,test_samples,hit_rate,directional,long_rate,short_rate,flat_rate
USDCHF,0,2017-06-05,2018-11-14,2018-12-03,2020-06-01,278,283,0.3922,-0.0448,0.2403,0.2332,0.5265
USDCHF,1,2017-06-05,2020-05-22,2020-06-02,2021-11-19,561,283,0.3852,0.0917,0.5442,0.265,0.1908
USDCHF,2,2017-06-05,2021-11-12,2021-11-22,2023-05-12,844,283,0.3286,0.1059,0.1767,0.424,0.3993
USDCHF,3,2017-06-05,2023-05-05,2023-05-16,2024-10-29,1127,283,0.4028,0.0492,0.2049,0.2261,0.5689
USDCHF,4,2017-06-05,2024-10-11,2024-10-30,2026-05-08,1410,283,0.4382,0.1096,0.2968,0.2191,0.4841
