asset,fold,train_start,train_end,test_start,test_end,train_samples,test_samples,hit_rate,directional,long_rate,short_rate,flat_rate
BTCUSD,0,2017-06-06,2018-08-31,2018-10-12,2020-04-28,195,200,0.31,0.069,0.425,0.445,0.13
BTCUSD,1,2017-06-06,2020-04-21,2020-04-29,2021-10-27,395,200,0.635,0.4057,0.78,0.095,0.125
BTCUSD,2,2017-06-06,2021-10-11,2021-10-28,2023-04-13,595,200,0.455,-0.1299,0.86,0.025,0.115
BTCUSD,3,2017-06-06,2023-03-13,2023-04-14,2024-10-29,795,200,0.515,0.5111,0.425,0.025,0.55
BTCUSD,4,2017-06-06,2024-10-22,2024-10-30,2026-05-05,995,200,0.5,0.2759,0.55,0.03,0.42
