asset,fold,train_start,train_end,test_start,test_end,train_samples,test_samples,hit_rate,directional,long_rate,short_rate,flat_rate
AUDJPY,0,2017-06-05,2018-10-23,2018-10-31,2020-04-22,286,291,0.2612,0.17,0.3677,0.5017,0.1306
AUDJPY,1,2017-06-05,2020-04-06,2020-04-23,2021-10-12,577,291,0.1718,-0.1226,0.1546,0.5739,0.2715
AUDJPY,2,2017-06-05,2021-10-05,2021-10-13,2023-03-22,868,291,0.299,0.1343,0.0893,0.3711,0.5395
AUDJPY,3,2017-06-05,2023-03-14,2023-03-23,2024-10-17,1159,291,0.3918,-0.325,0.1684,0.1065,0.7251
AUDJPY,4,2017-06-05,2024-09-25,2024-10-29,2026-04-30,1450,291,0.4983,0.284,0.2062,0.0722,0.7216
