asset,fold,train_start,train_end,test_start,test_end,train_samples,test_samples,hit_rate,directional,long_rate,short_rate,flat_rate
GC,0,2017-06-05,2018-11-02,2018-11-12,2020-06-18,276,281,0.2171,0.0109,0.1957,0.4591,0.3452
GC,1,2017-06-05,2020-06-10,2020-06-19,2022-01-21,557,281,0.3737,-0.0278,0.5445,0.2242,0.2313
GC,2,2017-06-05,2022-01-13,2022-01-24,2023-07-07,838,281,0.5267,0.085,0.427,0.1174,0.4555
GC,3,2017-06-05,2023-06-29,2023-07-10,2024-11-18,1119,281,0.4057,0.1045,0.4164,0.0605,0.5231
GC,4,2017-06-05,2024-11-11,2024-11-19,2026-05-08,1400,281,0.4947,0.4624,0.5302,0.1317,0.3381
