asset,fold,train_start,train_end,test_start,test_end,train_samples,test_samples,hit_rate,directional,long_rate,short_rate,flat_rate
CADCHF,0,2017-06-05,2018-08-30,2018-09-11,2020-02-26,271,276,0.3949,-0.1429,0.4529,0.2572,0.2899
CADCHF,1,2017-06-05,2020-02-19,2020-02-27,2021-10-15,547,276,0.3732,0.166,0.5326,0.3188,0.1486
CADCHF,2,2017-06-05,2021-10-04,2021-10-18,2023-03-28,823,276,0.4022,0.0861,0.3333,0.2138,0.4529
CADCHF,3,2017-06-05,2023-03-20,2023-03-29,2024-09-18,1099,276,0.5072,-0.0625,0.4022,0.0616,0.5362
CADCHF,4,2017-06-05,2024-09-09,2024-09-19,2026-05-11,1375,276,0.4928,-0.0526,0.2971,0.0471,0.6558
