asset,fold,train_start,train_end,test_start,test_end,train_samples,test_samples,hit_rate,directional,long_rate,short_rate,flat_rate
GBPCAD,0,2017-06-05,2018-11-06,2018-11-14,2020-06-12,283,288,0.4097,-0.0993,0.2708,0.2535,0.4757
GBPCAD,1,2017-06-05,2020-06-04,2020-06-15,2021-12-20,571,288,0.4826,0.1139,0.1076,0.1667,0.7257
GBPCAD,2,2017-06-05,2021-12-13,2021-12-21,2023-05-31,859,288,0.4132,-0.1545,0.184,0.2431,0.5729
GBPCAD,3,2017-06-05,2023-05-05,2023-06-01,2024-10-24,1147,288,0.1701,-0.2515,0.0,0.566,0.434
GBPCAD,4,2017-06-05,2024-10-08,2024-10-30,2026-05-12,1435,288,0.5278,0.3913,0.125,0.0347,0.8403
