asset,fold,train_start,train_end,test_start,test_end,train_samples,test_samples,hit_rate,directional,long_rate,short_rate,flat_rate
NZDCHF,0,2017-06-05,2018-09-27,2018-10-05,2020-02-24,270,275,0.2618,0.0844,0.3309,0.4873,0.1818
NZDCHF,1,2017-06-05,2020-02-14,2020-02-25,2021-08-24,545,275,0.2,0.1319,0.2036,0.6509,0.1455
NZDCHF,2,2017-06-05,2021-08-17,2021-08-25,2023-01-31,820,275,0.5455,0.2523,0.2764,0.1127,0.6109
NZDCHF,3,2017-06-05,2023-01-24,2023-02-02,2024-08-05,1095,275,0.3818,0.1402,0.1891,0.2,0.6109
NZDCHF,4,2017-06-05,2024-07-29,2024-08-06,2026-05-11,1370,275,0.5309,0.1429,0.0945,0.16,0.7455
