asset,fold,train_start,train_end,test_start,test_end,train_samples,test_samples,hit_rate,directional,long_rate,short_rate,flat_rate
GBPUSD,0,2017-06-05,2018-09-26,2018-10-05,2020-04-30,286,291,0.4433,-0.1818,0.4089,0.1203,0.4708
GBPUSD,1,2017-06-05,2020-04-06,2020-05-01,2021-10-28,577,291,0.4021,0.0924,0.2096,0.1993,0.5911
GBPUSD,2,2017-06-05,2021-10-21,2021-10-29,2023-05-18,868,291,0.4467,-0.1098,0.5086,0.055,0.4364
GBPUSD,3,2017-06-05,2023-05-11,2023-05-19,2024-11-07,1159,291,0.4089,-0.15,0.1684,0.1065,0.7251
GBPUSD,4,2017-06-05,2024-10-31,2024-11-08,2026-05-12,1450,291,0.4914,0.087,0.1134,0.0447,0.8419
