asset,fold,train_start,train_end,test_start,test_end,train_samples,test_samples,hit_rate,directional,long_rate,short_rate,flat_rate
USDCAD,0,2017-06-05,2018-10-01,2018-10-09,2020-04-21,288,293,0.1433,-0.014,0.0717,0.6621,0.2662
USDCAD,1,2017-06-05,2020-03-31,2020-04-22,2021-11-22,581,293,0.43,0.0899,0.413,0.2321,0.3549
USDCAD,2,2017-06-05,2021-11-15,2021-11-23,2023-06-01,874,293,0.3038,0.1325,0.1058,0.4608,0.4334
USDCAD,3,2017-06-05,2023-05-24,2023-06-02,2024-10-31,1167,293,0.4539,0.3235,0.157,0.0751,0.7679
USDCAD,4,2017-06-05,2024-10-24,2024-11-01,2026-05-12,1460,293,0.4505,-0.2269,0.2526,0.1536,0.5939
