asset,fold,train_start,train_end,test_start,test_end,train_samples,test_samples,hit_rate,directional,long_rate,short_rate,flat_rate
GBPNZD,0,2017-06-05,2018-11-20,2018-11-29,2020-05-27,278,283,0.3922,-0.0101,0.4947,0.2049,0.3004
GBPNZD,1,2017-06-05,2020-05-19,2020-05-28,2021-10-27,561,283,0.4876,-0.0065,0.4629,0.0848,0.4523
GBPNZD,2,2017-06-05,2021-10-20,2021-10-28,2023-05-12,844,283,0.3145,0.0065,0.2473,0.2933,0.4594
GBPNZD,3,2017-06-05,2023-04-28,2023-05-15,2024-10-23,1127,283,0.3286,-0.3412,0.159,0.1413,0.6996
GBPNZD,4,2017-06-05,2024-10-16,2024-10-24,2026-05-11,1410,283,0.424,-0.05,0.2792,0.0035,0.7173
