asset,fold,train_start,train_end,test_start,test_end,train_samples,test_samples,hit_rate,directional,long_rate,short_rate,flat_rate
EURAUD,0,2017-06-05,2018-11-08,2018-11-19,2020-05-19,280,285,0.4596,0.1026,0.7088,0.1123,0.1789
EURAUD,1,2017-06-05,2020-04-30,2020-05-20,2021-12-14,565,285,0.4386,-0.0909,0.7123,0.0982,0.1895
EURAUD,2,2017-06-05,2021-12-01,2021-12-15,2023-04-28,850,285,0.414,0.0267,0.3298,0.1965,0.4737
EURAUD,3,2017-06-05,2023-04-21,2023-05-01,2024-11-13,1135,285,0.5018,0.1489,0.0877,0.0772,0.8351
EURAUD,4,2017-06-05,2024-11-05,2024-11-14,2026-05-05,1420,285,0.4737,-0.191,0.2175,0.0947,0.6877
