asset,fold,train_start,train_end,test_start,test_end,train_samples,test_samples,hit_rate,directional,long_rate,short_rate,flat_rate
GBPCHF,0,2017-06-06,2018-10-29,2018-11-06,2020-05-01,270,275,0.3927,-0.0512,0.6291,0.1527,0.2182
GBPCHF,1,2017-06-06,2020-04-22,2020-05-04,2021-11-19,545,275,0.36,-0.1327,0.2618,0.1491,0.5891
GBPCHF,2,2017-06-06,2021-11-12,2021-11-22,2023-05-01,820,275,0.6509,0.1892,0.5309,0.0073,0.4618
GBPCHF,3,2017-06-06,2023-04-24,2023-05-02,2024-10-01,1095,275,0.4145,0.1053,0.2182,0.1964,0.5855
GBPCHF,4,2017-06-06,2024-09-23,2024-10-03,2026-05-05,1370,275,0.4909,0.0462,0.3309,0.1418,0.5273
