asset,fold,train_start,train_end,test_start,test_end,train_samples,test_samples,hit_rate,directional,long_rate,short_rate,flat_rate
CHFJPY,0,2017-06-05,2018-11-08,2018-11-19,2020-06-10,283,288,0.3229,0.0288,0.4028,0.3194,0.2778
CHFJPY,1,2017-06-05,2020-06-01,2020-06-11,2021-11-10,571,288,0.2431,0.0444,0.1979,0.4271,0.375
CHFJPY,2,2017-06-05,2021-11-03,2021-11-11,2023-05-16,859,288,0.2222,-0.0844,0.1806,0.6007,0.2188
CHFJPY,3,2017-06-05,2023-05-09,2023-05-17,2024-11-04,1147,288,0.5556,0.3005,0.6146,0.0208,0.3646
CHFJPY,4,2017-06-05,2024-10-23,2024-11-05,2026-05-05,1435,288,0.4896,0.092,0.5833,0.0208,0.3958
