asset,fold,train_start,train_end,test_start,test_end,train_samples,test_samples,hit_rate,directional,long_rate,short_rate,flat_rate
AUDCAD,0,2017-06-05,2018-10-23,2018-10-31,2020-05-21,287,292,0.2466,0.2571,0.1473,0.5719,0.2808
AUDCAD,1,2017-06-05,2020-05-14,2020-05-22,2021-11-17,579,292,0.1747,0.133,0.1027,0.6952,0.2021
AUDCAD,2,2017-06-05,2021-11-09,2021-11-18,2023-04-05,871,292,0.2671,0.2768,0.1541,0.4521,0.3938
AUDCAD,3,2017-06-05,2023-03-29,2023-04-11,2024-09-06,1163,292,0.2774,0.0541,0.0479,0.4589,0.4932
AUDCAD,4,2017-06-05,2024-08-29,2024-09-09,2026-05-08,1455,292,0.3048,-0.2389,0.0274,0.3596,0.613
