asset,fold,train_start,train_end,test_start,test_end,train_samples,test_samples,hit_rate,directional,long_rate,short_rate,flat_rate
EURUSD,0,2017-06-05,2018-12-12,2018-12-27,2020-05-29,288,293,0.4027,-0.0199,0.3447,0.1706,0.4846
EURUSD,1,2017-06-05,2020-05-21,2020-06-01,2021-10-26,581,293,0.2901,0.1484,0.1195,0.4096,0.471
EURUSD,2,2017-06-05,2021-10-19,2021-10-27,2023-05-17,874,293,0.5119,0.0909,0.3959,0.0546,0.5495
EURUSD,3,2017-06-05,2023-05-10,2023-05-18,2024-10-15,1167,293,0.3891,-0.225,0.041,0.2321,0.727
EURUSD,4,2017-06-05,2024-10-08,2024-10-16,2026-05-07,1460,293,0.413,0.2,0.0956,0.1433,0.7611
