asset,fold,train_start,train_end,test_start,test_end,train_samples,test_samples,hit_rate,directional,long_rate,short_rate,flat_rate
AUDCHF,0,2017-06-05,2018-11-12,2018-11-20,2020-04-28,275,280,0.3964,0.1714,0.4321,0.3179,0.25
AUDCHF,1,2017-06-05,2020-04-21,2020-04-29,2021-11-26,555,280,0.2857,0.123,0.1464,0.5214,0.3321
AUDCHF,2,2017-06-05,2021-11-18,2021-11-29,2023-05-31,835,280,0.4179,-0.0462,0.2929,0.1714,0.5357
AUDCHF,3,2017-06-05,2023-05-23,2023-06-01,2024-10-07,1115,280,0.3679,0.3016,0.0393,0.1857,0.775
AUDCHF,4,2017-06-05,2024-09-19,2024-10-15,2026-04-22,1395,280,0.4357,-0.1429,0.05,0.05,0.9
