asset,fold,train_start,train_end,test_start,test_end,train_samples,test_samples,hit_rate,directional,long_rate,short_rate,flat_rate
NZDJPY,0,2017-06-05,2018-09-07,2018-09-17,2020-03-13,281,286,0.2483,0.0745,0.2552,0.4021,0.3427
NZDJPY,1,2017-06-05,2020-03-06,2020-03-16,2021-10-04,567,286,0.1014,-0.0233,0.1224,0.7797,0.0979
NZDJPY,2,2017-06-05,2021-09-24,2021-10-05,2023-03-27,853,286,0.3427,0.0897,0.2622,0.2832,0.4545
NZDJPY,3,2017-06-05,2023-03-20,2023-03-28,2024-09-16,1139,286,0.2937,-0.2743,0.1853,0.2098,0.6049
NZDJPY,4,2017-06-05,2024-09-09,2024-09-17,2026-04-30,1425,286,0.486,-0.1084,0.2797,0.0105,0.7098
