asset,fold,train_start,train_end,test_start,test_end,train_samples,test_samples,hit_rate,directional,long_rate,short_rate,flat_rate
EURNZD,0,2017-06-05,2018-10-22,2018-10-30,2020-03-23,278,283,0.3958,-0.1755,0.8127,0.053,0.1343
EURNZD,1,2017-06-05,2020-03-16,2020-03-24,2021-10-14,561,283,0.3993,0.0194,0.371,0.1767,0.4523
EURNZD,2,2017-06-05,2021-10-07,2021-10-15,2023-04-27,844,283,0.3392,0.2075,0.1449,0.2297,0.6254
EURNZD,3,2017-06-05,2023-04-20,2023-04-28,2024-10-01,1127,283,0.4523,0.0085,0.2721,0.1413,0.5866
EURNZD,4,2017-06-05,2024-09-24,2024-10-02,2026-05-07,1410,283,0.424,0.0732,0.2438,0.0459,0.7102
