asset,fold,train_start,train_end,test_start,test_end,train_samples,test_samples,hit_rate,directional,long_rate,short_rate,flat_rate
EURJPY,0,2017-06-05,2018-11-26,2018-12-17,2020-06-02,284,289,0.391,-0.0616,0.5052,0.2249,0.2699
EURJPY,1,2017-06-05,2020-05-26,2020-06-03,2021-11-08,573,289,0.2699,-0.2409,0.1211,0.3529,0.526
EURJPY,2,2017-06-05,2021-11-01,2021-11-09,2023-04-04,862,289,0.4637,0.1613,0.2145,0.1073,0.6782
EURJPY,3,2017-06-05,2023-03-28,2023-04-05,2024-10-21,1151,289,0.3668,0.283,0.2526,0.1142,0.6332
EURJPY,4,2017-06-05,2024-10-02,2024-10-22,2026-04-27,1440,289,0.4464,0.3451,0.3287,0.0623,0.609
