asset,fold,train_start,train_end,test_start,test_end,train_samples,test_samples,hit_rate,directional,long_rate,short_rate,flat_rate
AUDUSD,0,2017-06-05,2018-11-16,2018-11-28,2020-04-21,288,293,0.3959,-0.0811,0.3686,0.2628,0.3686
AUDUSD,1,2017-06-05,2020-04-07,2020-04-22,2021-11-17,581,293,0.3208,-0.089,0.3106,0.3413,0.3481
AUDUSD,2,2017-06-05,2021-11-10,2021-11-18,2023-05-03,874,293,0.4744,0.1667,0.3345,0.198,0.4676
AUDUSD,3,2017-06-05,2023-04-26,2023-05-04,2024-10-01,1167,293,0.3174,-0.0442,0.0102,0.3754,0.6143
AUDUSD,4,2017-06-05,2024-09-24,2024-10-02,2026-05-08,1460,293,0.4232,-0.2542,0.041,0.1604,0.7986
