asset,fold,train_start,train_end,test_start,test_end,train_samples,test_samples,hit_rate,directional,long_rate,short_rate,flat_rate
EURCHF,0,2017-06-07,2018-11-14,2018-11-27,2020-04-13,273,278,0.4568,-0.2118,0.7122,0.018,0.2698
EURCHF,1,2017-06-07,2020-03-24,2020-04-16,2021-11-09,551,278,0.2914,-0.2069,0.3561,0.2698,0.3741
EURCHF,2,2017-06-07,2021-10-29,2021-11-10,2023-04-05,829,278,0.3957,0.1299,0.3489,0.205,0.446
EURCHF,3,2017-06-07,2023-03-29,2023-04-06,2024-08-26,1107,278,0.259,0.1235,0.0396,0.5432,0.4173
EURCHF,4,2017-06-07,2024-08-19,2024-08-27,2026-04-27,1385,278,0.2338,0.1479,0.0504,0.5576,0.3921
