asset,fold,train_start,train_end,test_start,test_end,train_samples,test_samples,hit_rate,directional,long_rate,short_rate,flat_rate
EURGBP,0,2017-06-05,2018-11-27,2018-12-06,2020-07-28,272,277,0.3682,-0.0762,0.5054,0.2527,0.2419
EURGBP,1,2017-06-05,2020-07-14,2020-07-29,2022-01-24,549,277,0.4188,0.0714,0.3466,0.1588,0.4946
EURGBP,2,2017-06-05,2022-01-13,2022-01-25,2023-07-11,826,277,0.4116,0.0694,0.3177,0.2022,0.4801
EURGBP,3,2017-06-05,2023-07-03,2023-07-12,2024-11-27,1103,277,0.444,0.2679,0.2671,0.1372,0.5957
EURGBP,4,2017-06-05,2024-11-11,2024-11-29,2026-05-06,1380,277,0.4332,0.2195,0.2671,0.1769,0.556
