asset,fold,train_start,train_end,test_start,test_end,train_samples,test_samples,hit_rate,directional,long_rate,short_rate,flat_rate
EURCAD,0,2017-06-05,2018-11-06,2018-11-14,2020-07-13,273,278,0.5,0.0769,0.8201,0.0683,0.1115
EURCAD,1,2017-06-05,2020-07-06,2020-07-14,2022-01-25,551,278,0.4748,0.087,0.3201,0.1763,0.5036
EURCAD,2,2017-06-05,2022-01-18,2022-01-26,2023-05-24,829,278,0.2914,-0.0755,0.2158,0.5468,0.2374
EURCAD,3,2017-06-05,2023-05-12,2023-05-25,2024-11-04,1107,278,0.3885,-0.1111,0.1331,0.1259,0.741
EURCAD,4,2017-06-05,2024-10-28,2024-11-05,2026-05-11,1385,278,0.4784,0.4098,0.1799,0.0396,0.7806
