asset,fold,train_start,train_end,test_start,test_end,train_samples,test_samples,hit_rate,directional,long_rate,short_rate,flat_rate
NZDCAD,0,2017-06-05,2018-10-25,2018-11-02,2020-05-12,283,288,0.2118,0.2281,0.125,0.6667,0.2083
NZDCAD,1,2017-06-05,2020-05-05,2020-05-13,2021-10-07,571,288,0.1354,-0.1724,0.0174,0.6875,0.2951
NZDCAD,2,2017-06-05,2021-09-30,2021-10-08,2023-03-10,859,288,0.4132,0.0541,0.2639,0.25,0.4861
NZDCAD,3,2017-06-05,2023-02-28,2023-03-13,2024-08-23,1147,288,0.2708,-0.1,0.0104,0.4757,0.5139
NZDCAD,4,2017-06-05,2024-08-14,2024-08-29,2026-05-05,1435,288,0.4618,-0.2911,0.0,0.2743,0.7257
