lookback,skip,vol_lookback,risk_lookback,rebalance_every,cagr,ann_vol,max_drawdown,sharpe,total_pnl,trade_count,turnover,hit_rate,payoff_ratio,wf_total_windows,wf_mean_oos_sharpe,wf_pct_profitable_windows,wf_oos_return_mean,wf_oos_return_std,classification
189.0,0.0,50.0,10.0,3.0,-0.016885896400320788,0.015631260249097,0.1308986153407541,-1.0816348217828418,-0.231312319618355,2308,0.1534208720650256,0.3349220103986135,1.1306645226037324,5,-1.0431065103116797,20.0,-0.011093915449446202,0.018644689006992107,FRAGILE
189.0,0.0,50.0,10.0,5.0,-0.016885896400320788,0.015631260249097,0.1308986153407541,-1.0816348217828418,nan,1326,0.1534208720650256,0.3755656108597285,1.1217693564022828,5,-1.0431065103116797,20.0,-0.011093915449446202,0.018644689006992107,FRAGILE
189.0,0.0,50.0,10.0,10.0,-0.016885896400320788,0.015631260249097,0.1308986153407541,-1.0816348217828418,-0.03542074120715082,647,0.1534208720650256,0.4420401854714065,1.0617311127242097,5,-1.0431065103116797,20.0,-0.011093915449446202,0.018644689006992107,FRAGILE
189.0,0.0,50.0,15.0,3.0,-0.010750921339022557,0.015438201254411013,0.09217373301593323,-0.6924189145218027,-0.19108160777074765,2242,0.1466542773446238,0.34032114183764495,1.1952549482732342,5,-0.33088886975837284,20.0,-0.0012312823217461855,0.01749804691335295,FRAGILE
189.0,0.0,50.0,15.0,5.0,-0.010750921339022557,0.015438201254411013,0.09217373301593323,-0.6924189145218027,-0.08304287815027417,1300,0.1466542773446238,0.38153846153846155,1.2141765858772877,5,-0.33088886975837284,20.0,-0.0012312823217461855,0.01749804691335295,FRAGILE
189.0,0.0,50.0,15.0,10.0,-0.010750921339022557,0.015438201254411013,0.09217373301593323,-0.6924189145218027,-0.015533697118953197,654,0.1466542773446238,0.43730886850152906,1.1907819027983488,5,-0.33088886975837284,20.0,-0.0012312823217461855,0.01749804691335295,FRAGILE
189.0,0.0,50.0,20.0,3.0,-0.00915011254793785,0.01555428581309857,0.0798042836733227,-0.5831850520339155,-0.1960469487329071,2245,0.1440871683862659,0.35144766146993317,1.133274867525739,5,-0.28411830403248634,40.0,4.7960245038836113e-05,0.013629357788748452,FRAGILE
189.0,0.0,50.0,20.0,5.0,-0.00915011254793785,0.01555428581309857,0.0798042836733227,-0.5831850520339155,-0.0968486286155692,1364,0.1440871683862659,0.3812316715542522,1.1824759337469744,5,-0.28411830403248634,40.0,4.7960245038836113e-05,0.013629357788748452,FRAGILE
189.0,0.0,50.0,20.0,10.0,-0.00915011254793785,0.01555428581309857,0.0798042836733227,-0.5831850520339155,-0.02812233793119067,676,0.1440871683862659,0.4349112426035503,1.137147145794918,5,-0.28411830403248634,40.0,4.7960245038836113e-05,0.013629357788748452,FRAGILE
189.0,0.0,50.0,25.0,3.0,-0.010160149183198186,0.01571317633541815,0.0829310264148112,-0.6420324149510627,-0.2332498021348117,2260,0.14410405179561142,0.33938053097345133,1.0845373834136407,5,-0.4328074417930646,20.0,-0.0017277644245102363,0.013250451932612919,FRAGILE
189.0,0.0,50.0,25.0,5.0,-0.010160149183198186,0.01571317633541815,0.0829310264148112,-0.6420324149510627,-0.1452757303226854,1357,0.14410405179561142,0.3610906411201179,1.1091274907418907,5,-0.4328074417930646,20.0,-0.0017277644245102363,0.013250451932612919,FRAGILE
189.0,0.0,50.0,25.0,10.0,-0.010160149183198186,0.01571317633541815,0.0829310264148112,-0.6420324149510627,-0.05028013861284625,655,0.14410405179561142,0.4030534351145038,1.1586300295567533,5,-0.4328074417930646,20.0,-0.0017277644245102363,0.013250451932612919,FRAGILE
189.0,0.0,50.0,30.0,3.0,-0.010941152330368964,0.016682788264069187,0.0972029674642042,-0.651085713380748,-0.24863780004165253,2381,0.15435350338378148,0.3338933221335573,1.0879865461051432,5,-0.247560661056322,20.0,0.0007482509250477554,0.020704064440830536,FRAGILE
189.0,0.0,50.0,30.0,5.0,-0.010941152330368964,0.016682788264069187,0.0972029674642042,-0.651085713380748,-0.15797533710902964,1441,0.15435350338378148,0.3560027758501041,1.1132240231200718,5,-0.247560661056322,20.0,0.0007482509250477554,0.020704064440830536,FRAGILE
189.0,0.0,50.0,30.0,10.0,-0.010941152330368964,0.016682788264069187,0.0972029674642042,-0.651085713380748,-0.05954427396610679,711,0.15435350338378148,0.4149085794655415,1.0714897519923163,5,-0.247560661056322,20.0,0.0007482509250477554,0.020704064440830536,FRAGILE
189.0,0.0,60.0,10.0,3.0,-0.01726148205246114,0.01609059230033145,0.13363011983600648,-1.0740496990770332,-0.23361065525065985,2301,0.15558066506116924,0.33463711429813126,1.1207309175451123,5,-1.0713805941452066,20.0,-0.011528951745050264,0.01920997710298088,FRAGILE
189.0,0.0,60.0,10.0,5.0,-0.01726148205246114,0.01609059230033145,0.13363011983600648,-1.0740496990770332,nan,1322,0.15558066506116924,0.3751891074130106,1.1134503668807152,5,-1.0713805941452066,20.0,-0.011528951745050264,0.01920997710298088,FRAGILE
189.0,0.0,60.0,10.0,10.0,-0.01726148205246114,0.01609059230033145,0.13363011983600648,-1.0740496990770332,-0.034484768316843446,645,0.15558066506116924,0.4418604651162791,1.0664619509401538,5,-1.0713805941452066,20.0,-0.011528951745050264,0.01920997710298088,FRAGILE
189.0,0.0,60.0,15.0,3.0,-0.010951802205764971,0.015984477826186925,0.09354193413497014,-0.6809217180218604,-0.1941072541988834,2236,0.14911088108973278,0.33989266547406083,1.1843959484766475,5,-0.34482129153885754,20.0,-0.0013455164120288686,0.01793734770221816,FRAGILE
189.0,0.0,60.0,15.0,5.0,-0.010951802205764971,0.015984477826186925,0.09354193413497014,-0.6809217180218604,-0.08334663410534618,1296,0.14911088108973278,0.38117283950617287,1.2109483943268708,5,-0.34482129153885754,20.0,-0.0013455164120288686,0.01793734770221816,FRAGILE
189.0,0.0,60.0,15.0,10.0,-0.010951802205764971,0.015984477826186925,0.09354193413497014,-0.6809217180218604,-0.014938222985925072,652,0.14911088108973278,0.4371165644171779,1.1949055864192197,5,-0.34482129153885754,20.0,-0.0013455164120288686,0.01793734770221816,FRAGILE
189.0,0.0,60.0,20.0,3.0,-0.00935524583723335,0.01598492263815809,0.08125311559295001,-0.5800008866197247,-0.19861889877768055,2239,0.14645218203802346,0.35104957570343903,1.1230858511471256,5,-0.2879886631574764,40.0,-5.38618331931362e-05,0.013826899902642489,FRAGILE
189.0,0.0,60.0,20.0,5.0,-0.00935524583723335,0.01598492263815809,0.08125311559295001,-0.5800008866197247,-0.09665247986983896,1360,0.14645218203802346,0.38088235294117645,1.180204772704965,5,-0.2879886631574764,40.0,-5.38618331931362e-05,0.013826899902642489,FRAGILE
189.0,0.0,60.0,20.0,10.0,-0.00935524583723335,0.01598492263815809,0.08125311559295001,-0.5800008866197247,-0.026739223761200578,674,0.14645218203802346,0.43471810089020774,1.1447398980093224,5,-0.2879886631574764,40.0,-5.38618331931362e-05,0.013826899902642489,FRAGILE
189.0,0.0,60.0,25.0,3.0,-0.010269345185157097,0.016114552218591593,0.0841443248305559,-0.6324900527199707,-0.23437941767627832,2254,0.14660005365055748,0.33895297249334516,1.0783315579291193,5,-0.35671612717266904,20.0,-0.001666230874579,0.013800772585871323,FRAGILE
189.0,0.0,60.0,25.0,5.0,-0.010269345185157097,0.016114552218591593,0.0841443248305559,-0.6324900527199707,-0.14481155378869254,1353,0.14660005365055748,0.360679970436068,1.1060748261739966,5,-0.35671612717266904,20.0,-0.001666230874579,0.013800772585871323,FRAGILE
