time,gross_exposure,net_exposure,n_positions,ret_gross_weighted,ret_net_weighted,turnover_weight_units,regime_on
2020-11-06,0.0,0.0,0,0.0,0.0,0.0,0.0
2020-11-07,0.0,0.0,0,0.0,0.0,0.0,0.0
2020-11-08,0.0,0.0,0,0.0,0.0,0.0,0.0
2020-11-09,0.0,0.0,0,0.0,0.0,0.0,0.0
2020-11-10,0.0,0.0,0,0.0,0.0,0.0,0.0
2020-11-11,0.0,0.0,0,0.0,0.0,0.0,0.0
2020-11-12,0.0,0.0,0,0.0,0.0,0.0,0.0
2020-11-13,0.0,0.0,0,0.0,0.0,0.0,0.0
2020-11-14,0.0,0.0,0,0.0,0.0,0.0,0.0
2020-11-15,0.0,0.0,0,0.0,0.0,0.0,0.0
2020-11-16,0.0,0.0,0,0.0,0.0,0.0,0.0
2020-11-17,0.0,0.0,0,0.0,0.0,0.0,0.0
2020-11-18,0.0,0.0,0,0.0,0.0,0.0,0.0
2020-11-19,0.0,0.0,0,0.0,0.0,0.0,0.0
2020-11-20,0.0,0.0,0,0.0,0.0,0.0,0.0
2020-11-21,0.0,0.0,0,0.0,0.0,0.0,0.0
2020-11-22,0.0,0.0,0,0.0,0.0,0.0,0.0
2020-11-23,0.0,0.0,0,0.0,0.0,0.0,0.0
2020-11-24,0.0,0.0,0,0.0,-0.0012097237472194632,1.209723747219463,1.0
2020-11-25,1.2097237472194633,0.35474969796633693,29,-0.0032328298585688506,-0.0033295362735831957,0.09670641501434528,1.0
2020-11-26,1.2169637289631845,0.36690109287920497,29,-0.009105628559742595,-0.009259070835132742,0.15344227539014685,1.0
2020-11-27,1.209348611850944,0.3581146803383378,28,-0.00015421917913488762,-0.00021232240603674769,0.058103226901860074,1.0
2020-11-28,1.2027584005865863,0.34559849369899287,28,0.003380632004825124,0.003367131340410813,0.013500664414310859,1.0
2020-11-29,1.1892670271338062,0.34440981309523966,28,0.003360089850867808,0.0033054804603086544,0.05460939055915388,1.0
2020-11-30,1.1859471821103431,0.34711737239256923,28,0.005185225141455967,0.005048054121313516,0.1371710201424503,1.0
2020-12-01,1.1857914018668236,0.3500451886431446,28,-0.0018619391266879344,-0.0019177291025464906,0.0557899758585561,1.0
2020-12-02,1.1925428925811266,0.34558875861118216,29,0.004993369381684104,0.0048667812510026515,0.12658813068145222,1.0
2020-12-03,1.1969224238446046,0.3393200908013597,29,0.0020491223151996875,0.0019492621803171048,0.09986013488258268,1.0
2020-12-04,1.2123815586187867,0.33922120994604943,29,-0.003546883163927465,-0.0036463228156122214,0.09943965168475635,1.0
2020-12-05,1.2180615666649883,0.3305826726756971,28,0.002586756168826976,0.002561611078324901,0.025145090502074738,1.0
2020-12-06,1.1929164761629136,0.3149089101623783,28,0.0014606158094911297,0.0014107644488495898,0.049851360641539916,1.0
2020-12-07,1.1859790303695443,0.3147780256472898,27,-0.00047119985687352336,-0.000515614627441824,0.04441477056830068,1.0
2020-12-08,1.188126902570641,0.3197704987236658,28,-0.0034118317608493863,-0.003477249948394366,0.0654181875449798,1.0
2020-12-09,1.1775282364139583,0.3084673147027274,27,-0.001047857744910106,-0.0010883813655666763,0.04052362065657049,1.0
2020-12-10,1.185990429921424,0.3131903986098629,27,0.004852938784458323,0.004733181667276369,0.1197571171819545,1.0
2020-12-11,1.2075410066593262,0.2899046301143324,29,0.00011386608021126063,6.098175579036522e-05,0.05288432442089541,1.0
2020-12-12,1.2084660868159738,0.2884116953038107,27,0.004335153169716333,0.00432119695796952,0.01395621174681256,1.0
2020-12-13,1.1945691383271086,0.2879510141505146,27,0.0021658682383189566,0.00211859025555817,0.04727798276078665,1.0
2020-12-14,1.1871267880744028,0.29174482337042523,27,-0.0024514185265548105,-0.002595571870257587,0.14415334370277655,1.0
2020-12-15,1.1603047784986258,0.2732003895709767,27,0.002785494604574745,0.002686490837337939,0.09900376723680625,1.0
2020-12-16,1.172913727559968,0.2671855217651957,28,0.010228336185888682,0.010122806452767101,0.10552973312158061,1.0
2020-12-17,1.1816125745108454,0.2728521212169105,28,0.009983715828568865,0.009889569920225438,0.09414590834342604,1.0
2020-12-18,1.164433467563612,0.255896452189775,28,0.0015782001174270983,0.0015270721808976933,0.05112793652940497,1.0
2020-12-19,1.1393669820409937,0.24326996350211558,28,0.0031528694425721595,0.0031444658166459877,0.00840362592617171,1.0
2020-12-20,1.131000695635853,0.24377039460394154,28,-0.0022132558245076856,-0.0022322557775047817,0.0189999529970963,1.0
2020-12-21,1.1144659756243556,0.24514656574369137,28,-0.005174902840009355,-0.005241933751641464,0.06703091163210928,1.0
2020-12-22,1.099738395214495,0.2419304400741852,28,0.002552795296529841,0.002483714158079175,0.06908113845066621,1.0
2020-12-23,1.0978818585124575,0.24682522944133498,28,-0.0003694277900892284,-0.00042041459030313973,0.050986800213911346,1.0
2020-12-24,1.1149989814179937,0.24717723635885885,28,0.0019396042631129383,0.0018806294297105109,0.058974833402427373,1.0
2020-12-25,1.1190628287521118,0.25190904711065054,28,0.004111881404630369,0.00395308713657175,0.15879426805861935,1.0
2020-12-26,1.1357059797357316,0.2740380298679028,28,0.0071722198884435874,0.0071667013035664985,0.005518584877088928,1.0
2020-12-27,1.13027220680111,0.27193232303069975,28,0.0009827280660452621,0.0009326094503814673,0.05011861566379479,1.0
2020-12-28,1.096760331283359,0.256903277204371,28,0.0037070716234880695,0.003653446067260221,0.05362555622784855,1.0
2020-12-29,1.0998500966318676,0.2565389109773348,28,0.002553977474905947,0.002459347168948823,0.09463030595712378,1.0
2020-12-30,1.1031069998525354,0.26239133926661373,27,0.009832326507830898,0.009751518214875179,0.08080829295571809,1.0
2020-12-31,1.0884463012391974,0.23974049039806622,28,-0.00017098712000059051,-0.00028237061191538587,0.11138349191479532,1.0
2021-01-01,1.0660097915885145,0.20670917103525177,27,0.0014598078802064319,0.001362929822517759,0.09687805768867286,1.0
2021-01-02,1.0501486392464263,0.20870892265833935,28,0.009548318927250632,0.009492822436643634,0.0554964906069985,1.0
2021-01-03,0.9946521486394282,0.17392211164213434,28,0.003579117511728233,0.003498019090439637,0.08109842128859597,1.0
2021-01-04,0.9942404684675867,0.19417710427976673,28,-0.0048760477662940175,-0.005030602136446688,0.15455437015267054,1.0
2021-01-05,0.9956423927621305,0.19976185810598793,28,0.01108752972745412,0.010987271266978248,0.10025846047587228,1.0
2021-01-06,1.0238478995254439,0.21506066974701293,28,0.012034232584740522,0.011935844920911754,0.09838766382876787,1.0
2021-01-07,1.0325995190449908,0.2162613307430689,29,0.0057294322521803335,0.005590759614567509,0.1386726376128251,1.0
2021-01-08,1.050316971476428,0.22401386937462153,29,-0.0004975667542708368,-0.0006190459035620776,0.12147914929124079,1.0
2021-01-09,0.9897476296315426,0.21426459165175668,28,-0.000871319752412092,-0.0008791946440520412,0.007874891639949215,1.0
2021-01-10,0.9819645648527889,0.21874472734058048,28,-0.007568161521225148,-0.007623530568647864,0.0553690474227167,1.0
2021-01-11,0.9647311526168432,0.22032445150309826,27,-0.008420292461882375,-0.008507747713065544,0.08745525118316799,1.0
2021-01-12,0.9354967272934177,0.21691424334671308,27,-0.0013794346196372548,-0.0014443108319321632,0.06487621229490828,1.0
2021-01-13,0.9355562510284496,0.21201024562080187,28,0.007875895972190738,0.007809499486239242,0.06639648595149664,1.0
2021-01-14,0.9451228291137487,0.21972412616983633,27,0.0057931651313228045,0.005686331487089914,0.106833644232891,1.0
2021-01-15,0.9362373949011402,0.20864764223275645,27,-0.010930302007047104,-0.011866539401948244,0.9362373949011403,0.0
2021-01-16,0.0,0.0,0,0.0,0.0,0.0,0.0
2021-01-17,0.0,0.0,0,0.0,0.0,0.0,0.0
2021-01-18,0.0,0.0,0,0.0,0.0,0.0,0.0
2021-01-19,0.0,0.0,0,0.0,0.0,0.0,0.0
2021-01-20,0.0,0.0,0,0.0,0.0,0.0,0.0
2021-01-21,0.0,0.0,0,0.0,0.0,0.0,0.0
2021-01-22,0.0,0.0,0,0.0,0.0,0.0,0.0
2021-01-23,0.0,0.0,0,0.0,0.0,0.0,0.0
2021-01-24,0.0,0.0,0,0.0,0.0,0.0,0.0
2021-01-25,0.0,0.0,0,0.0,0.0,0.0,0.0
2021-01-26,0.0,0.0,0,0.0,-0.0009411827237048049,0.9411827237048049,1.0
2021-01-27,0.9411827237048049,0.20955519784924506,28,-0.01364728424046411,-0.014588466964168914,0.9411827237048049,0.0
2021-01-28,0.0,0.0,0,0.0,0.0,0.0,0.0
2021-01-29,0.0,0.0,0,0.0,0.0,0.0,0.0
2021-01-30,0.0,0.0,0,0.0,0.0,0.0,0.0
2021-01-31,0.0,0.0,0,0.0,0.0,0.0,0.0
2021-02-01,0.0,0.0,0,0.0,0.0,0.0,0.0
2021-02-02,0.0,0.0,0,0.0,0.0,0.0,0.0
2021-02-03,0.0,0.0,0,0.0,0.0,0.0,0.0
