symbol,direction,entry_ts,exit_ts,entry_price,exit_price,holding_calendar_days,holding_trading_days,signal_strength_entry,rank_at_entry,gross_return,net_return_10bps_side,net_return_15bps_side,cost_roundtrip_bps,mfe,mae,time_to_mfe_trading_days,time_to_mae_trading_days,max_intradrawdown_from_peak,exit_reason,profitable_net,regime_off_days_during_trade,cadence_label
NZDUSD,LONG,2021-04-11,2021-04-16,0.70355,0.71437,5,5,0.03231,7,0.015379,0.013379,0.012379,20.0,0.02051,-0.004591,5,3,-0.000739,rotated_out_top8,True,0,weekly
AUDUSD,LONG,2020-09-18,2021-04-21,0.72872,0.77534,215,182,0.05417,4,0.063975,0.061975,0.060975,20.0,0.098707,-0.040729,136,39,-0.052805,rotated_out_top8,True,12,weekly
NZDCAD,SHORT,2021-04-16,2021-04-21,0.893441,0.900552,5,4,-0.02858,7,-0.007959,-0.009959,-0.010959,20.0,0.000545,0.0,2,0,-0.012931,rotated_out_top8,False,0,weekly
GBPCHF,LONG,2021-04-21,2021-05-06,1.276995,1.26105,15,13,0.03641,4,-0.012486,-0.014486,-0.015486,20.0,0.004401,-0.018642,1,9,-0.012245,rotated_out_top8,False,0,weekly
CADCHF,LONG,2021-04-06,2021-05-11,0.740417,0.747183,35,30,0.02962,7,0.009139,0.007139,0.006139,20.0,0.017251,-0.023049,27,14,-0.019008,rotated_out_top8,True,0,weekly
GBPCHF,LONG,2021-05-11,2021-05-16,1.277546,1.270992,5,4,0.02325,8,-0.00513,-0.00713,-0.00813,20.0,0.007364,-0.009959,2,4,-0.005893,rotated_out_top8,False,0,weekly
AUDCHF,LONG,2021-03-22,2021-06-10,0.715033,0.692972,80,69,0.041,5,-0.030853,-0.032853,-0.033853,20.0,0.012536,-0.04001,2,64,-0.035752,rotated_out_top8,False,3,weekly
NZDCHF,LONG,2021-04-06,2021-06-10,0.657322,0.643011,65,56,0.04353,4,-0.02177,-0.02377,-0.02477,20.0,0.015335,-0.026901,20,56,-0.028914,rotated_out_top8,False,3,weekly
CADCHF,LONG,2021-05-16,2021-06-10,0.744233,0.739585,25,22,0.02027,8,-0.006245,-0.008245,-0.009245,20.0,0.011047,-0.010238,17,22,-0.012714,rotated_out_top8,False,3,weekly
USDCHF,SHORT,2021-06-10,2021-06-15,0.89455,0.89852,5,4,-0.02972,8,-0.004438,-0.006438,-0.007438,20.0,0.0,-0.003644,0,4,-0.005321,rotated_out_top8,False,0,weekly
AUDUSD,LONG,2021-05-06,2021-06-20,0.77863,0.75007,45,38,0.03771,5,-0.03668,-0.03868,-0.03968,20.0,0.013331,-0.039557,4,38,-0.04865,rotated_out_top8,False,3,weekly
AUDCAD,SHORT,2021-06-15,2021-06-25,0.93639,0.933443,10,9,-0.03061,8,0.003147,0.001147,0.000147,20.0,0.000957,0.0,5,0,-0.004501,rotated_out_top8,True,0,weekly
GBPUSD,LONG,2021-06-10,2021-06-30,1.41697,1.38279,20,17,0.03516,6,-0.024122,-0.026122,-0.027122,20.0,0.001066,-0.027079,2,10,-0.026253,rotated_out_top8,False,0,weekly
